               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.037901,            0.021452,           0.0066552,             0.56291,             0.48648,             0.48218,             0.23223,            0.059667,            0.013924,            0.026833,            0.007723,            0.007723,            0.007723
                  94,            0.037332,            0.020506,           0.0066971,             0.58385,             0.45508,             0.47388,               0.246,            0.063787,            0.014459,            0.025817,           0.0076983,           0.0076983,           0.0076983
                  95,            0.038903,            0.021396,           0.0059959,             0.60694,              0.4365,             0.46274,              0.2625,            0.070553,            0.014393,            0.035378,           0.0076735,           0.0076735,           0.0076735
                  96,            0.037404,            0.020826,           0.0071324,             0.50252,             0.45697,             0.41079,             0.22485,            0.063037,            0.013995,            0.029704,           0.0076488,           0.0076488,           0.0076488
                  97,            0.037047,            0.019849,           0.0073786,             0.62221,             0.43749,             0.51239,             0.28342,            0.055565,            0.013889,            0.029454,            0.007624,            0.007624,            0.007624
                  98,            0.037682,            0.021336,           0.0070335,             0.47831,             0.45613,             0.46933,             0.26106,            0.058683,            0.013155,            0.026146,           0.0075993,           0.0075993,           0.0075993
                  99,            0.036073,            0.020078,           0.0062147,              0.5361,             0.48591,              0.5068,             0.29885,             0.06122,            0.014526,            0.027876,           0.0075745,           0.0075745,           0.0075745
                 100,            0.036465,              0.0202,           0.0078799,             0.59817,             0.36108,             0.40618,             0.21819,            0.071221,            0.015102,             0.03335,           0.0075498,           0.0075498,           0.0075498
                 101,            0.037364,            0.021145,           0.0062066,              0.5719,             0.45303,             0.45118,             0.26171,            0.061385,            0.014174,            0.028197,            0.007525,            0.007525,            0.007525
                 102,            0.035587,            0.020434,           0.0063234,             0.65015,             0.38379,             0.37614,             0.20605,             0.06784,            0.014513,            0.031491,           0.0075003,           0.0075003,           0.0075003
                 103,            0.036469,            0.020282,           0.0078822,             0.58956,              0.4429,             0.46515,             0.27677,            0.066729,            0.013608,             0.03109,           0.0074755,           0.0074755,           0.0074755
                 104,            0.036601,            0.020407,           0.0072271,             0.64553,             0.48954,             0.52964,             0.28383,            0.059228,            0.013782,            0.026656,           0.0074507,           0.0074507,           0.0074507
